t,gt_x,gt_y,gt_theta,est_x,est_y,est_theta,pos_err,theta_err
0.0,4.011478756088573,3.085970540278627,2.230796326794897,0.17453670293001478,0.2849982305374308,0.1681138119166327,4.75053367520256,2.0626825148782646
0.00020313262939453125,4.011478756088573,3.085970540278627,2.230796326794897,0.17453670293001478,0.2849982305374308,0.1681138119166327,4.75053367520256,2.0626825148782646
0.02117633819580078,4.011478756088573,3.085970540278627,2.230796326794897,0.17453670293001478,0.2849982305374308,0.1681138119166327,4.75053367520256,2.0626825148782646
0.04137229919433594,4.011478756088573,3.085970540278627,2.230796326794897,0.17453670293001478,0.2849982305374308,0.1681138119166327,4.75053367520256,2.0626825148782646
0.06220531463623047,4.011478756088573,3.085970540278627,2.230796326794897,0.1811170153049882,0.2880920135003875,0.14805606512125638,4.7433949146012955,2.082740261673641
0.08240413665771484,4.011478756088573,3.085970540278627,2.230796326794897,0.1811170153049882,0.2880920135003875,0.14805606512125638,4.7433949146012955,2.082740261673641
0.1033010482788086,3.9509611241539355,3.165577593333836,2.250796326794897,0.1811170153049882,0.2880920135003875,0.14805606512125638,4.742536016433882,2.102740261673641
0.1238715648651123,3.9509611241539355,3.165577593333836,2.250796326794897,0.19056100930391243,0.27721177201275,0.4156677778720241,4.741652258605633,1.835128548922873
0.14408063888549805,3.9509611241539355,3.165577593333836,2.250796326794897,0.19056100930391243,0.27721177201275,0.4156677778720241,4.741652258605633,1.835128548922873
0.16529583930969238,3.9509611241539355,3.165577593333836,2.250796326794897,0.19274444601867802,0.27809034000317445,0.450918649703791,4.739385533796661,1.7998776770911062
0.18555879592895508,3.9509611241539355,3.165577593333836,2.250796326794897,0.19274444601867802,0.27809034000317445,0.450918649703791,4.739385533796661,1.7998776770911062
0.20633673667907715,3.8888635604217496,3.2439584535590096,2.270796326794897,0.19274444601867802,0.27809034000317445,0.450918649703791,4.738952434332191,1.8198776770911063
0.2269575595855713,3.8888635604217496,3.2439584535590096,2.270796326794897,0.1869536229296474,0.303120822794982,0.14443963880715682,4.727860314753447,2.1263566879877405
0.2473134994506836,3.8888635604217496,3.2439584535590096,2.270796326794897,0.1869536229296474,0.303120822794982,0.14443963880715682,4.727860314753447,2.1263566879877405
0.26827454566955566,3.8888635604217496,3.2439584535590096,2.270796326794897,0.19121513811553767,0.30337086641591077,0.16199285691777518,4.724368657571474,2.108803469877122
0.2884707450866699,3.8888635604217496,3.2439584535590096,2.270796326794897,0.19121513811553767,0.30337086641591077,0.16199285691777518,4.724368657571474,2.108803469877122
0.30907559394836426,3.825210903089552,3.3210817696551223,2.290796326794897,0.19121513811553767,0.30337086641591077,0.16199285691777518,4.723611363710809,2.128803469877122
0.329509973526001,3.825210903089552,3.3210817696551223,2.290796326794897,0.19604715041799778,0.3057592539179371,0.15906490958969857,4.718368300336113,2.1317314172051987
0.34969210624694824,3.825210903089552,3.3210817696551223,2.290796326794897,0.19604715041799778,0.3057592539179371,0.15906490958969857,4.718368300336113,2.1317314172051987
0.3705410957336426,3.825210903089552,3.3210817696551223,2.290796326794897,0.19605184273486012,0.30565649399028766,0.17926277952051134,4.718430361727604,2.111533547274386
0.39075422286987305,3.825210903089552,3.3210817696551223,2.290796326794897,0.19605184273486012,0.30565649399028766,0.17926277952051134,4.718430361727604,2.111533547274386
0.41147494316101074,3.7600286123715847,3.3969166933240325,2.310796326794897,0.19605184273486012,0.30565649399028766,0.17926277952051134,4.717819415206047,2.131533547274386
0.43207883834838867,3.7600286123715847,3.3969166933240325,2.310796326794897,0.1553909705889504,0.33306840542390365,-0.16108237654795463,4.730811649159668,2.4718787033428518
0.45229220390319824,3.7600286123715847,3.3969166933240325,2.310796326794897,0.1553909705889504,0.33306840542390365,-0.16108237654795463,4.730811649159668,2.4718787033428518
0.4732851982116699,3.7600286123715847,3.3969166933240325,2.310796326794897,0.1402519726133125,0.29122078219730313,-0.1585315004521351,4.769499975272982,2.4693278272470325
0.4934864044189453,3.7600286123715847,3.3969166933240325,2.310796326794897,0.1402519726133125,0.29122078219730313,-0.1585315004521351,4.769499975272982,2.4693278272470325
0.5145387649536133,3.693342760315049,3.4714328916073924,2.3307963267948972,0.1402519726133125,0.29122078219730313,-0.1585315004521351,4.768459206755314,2.4893278272470325
0.5355331897735596,3.693342760315049,3.4714328916073924,2.3307963267948972,0.1432035323187239,0.2912120774194901,-0.11405882176965527,4.766266145018793,2.4448551485645527
0.5558462142944336,3.693342760315049,3.4714328916073924,2.3307963267948972,0.1432035323187239,0.2912120774194901,-0.11405882176965527,4.766266145018793,2.4448551485645527
0.5767545700073242,3.693342760315049,3.4714328916073924,2.3307963267948972,0.11916644290276455,0.3136035740229627,-0.8671572261897874,4.769341919693595,3.0852317541949015
0.5975508689880371,3.693342760315049,3.4714328916073924,2.3307963267948972,0.11916644290276455,0.3136035740229627,-0.8671572261897874,4.769341919693595,3.0852317541949015
0.6185414791107178,3.6251800203716353,3.5446005590194236,2.3507963267948973,0.11916644290276455,0.3136035740229627,-0.8671572261897874,4.767753425089461,3.065231754194901
0.639251708984375,3.6251800203716353,3.5446005590194236,2.3507963267948973,3.596039375059051,3.598441726908918,1.9609226194350293,0.06122130812828631,0.38987370735986815
0.6594433784484863,3.6251800203716353,3.5446005590194236,2.3507963267948973,3.596039375059051,3.598441726908918,1.9609226194350293,0.06122130812828631,0.38987370735986815
0.6803643703460693,3.6251800203716353,3.5446005590194236,2.3507963267948973,3.788805501564833,3.386849992479958,2.2965788914389638,0.2272851498431605,0.054217435355933485
